CustomerId,Profit,Recency,Frequency,Monetary,Variance,labels,Type
620,100,53,1,389.75,1,1,Inactive customer
621,295,7,10,5459.98,8,3,New customer
622,501,4,11,34773.63,29,3,New customer
623,319,5,12,9566.5,7,3,New customer
624,609,9,2,75576.31,20,3,New customer
625,249,6,1,33891.9,21,3,New customer
626,409,3,22,13890.79,12,3,New customer
627,829,5,12,47589.88,27,3,New customer
628,6,25,1,49.99,1,3,New customer
629,306,3,20,2669.32,10,3,New customer
630,1788,4,16,24040.96,16,3,New customer
631,12,3,2,69.34,2,3,New customer
632,180,6,12,6622.84,16,3,New customer
633,16,58,1,337.2,3,1,Inactive customer
634,356,5,20,11757.76,25,0,Regular customer
635,155,12,8,5097.82,9,3,New customer
636,374,7,19,7470.72,7,3,New customer
637,117,45,2,1347.36,3,1,Inactive customer
638,37,34,1,2353.96,4,1,Inactive customer
639,419,12,3,47288.16,28,3,New customer
640,297,4,17,7056.07,7,3,New customer
641,108,13,6,3748.34,13,3,New customer
642,960,5,3,5359.8,2,3,New customer
643,270,7,12,17550.35,18,3,New customer
644,18,48,2,856.47,2,1,Inactive customer
645,85,13,4,2494.91,9,3,New customer
646,38,39,4,355.96,3,1,Inactive customer
647,26,89,1,259.56,2,1,Inactive customer
648,202,4,10,3925.34,13,3,New customer
649,417,42,7,26944.74,20,1,Inactive customer
650,268,5,4,8330.38,6,3,New customer
651,14,5,5,190.7,5,3,New customer
652,4583,1,62,146783.76,41,0,Regular customer
653,3564,4,36,132322.71,33,0,Regular customer
654,224,10,4,18670.41,16,3,New customer
655,255,48,2,1334.37,2,1,Inactive customer
656,495,6,18,14419.81,33,0,Regular customer
657,153,10,4,2103.76,7,3,New customer
658,396,7,12,15963.75,18,3,New customer
659,498,7,24,18689.9,24,0,Regular customer
660,111,3,7,3041.54,13,3,New customer
661,298,10,17,7018.58,8,3,New customer
662,711,3,11,56469.19,44,0,Regular customer
663,578,6,13,26605.82,32,0,Regular customer
664,82,2,8,1215.63,5,3,New customer
665,4,61,1,37.74,1,1,Inactive customer
666,272,6,13,7558.83,13,3,New customer
667,369,18,16,13630.23,22,3,New customer
668,465,3,12,20418.93,18,3,New customer
669,2811,3,55,51545.76,40,0,Regular customer
670,62,42,8,1253.38,7,1,Inactive customer
671,8,25,1,96.98,1,3,New customer
672,567,4,13,9852.13,19,3,New customer
673,661,3,11,23325.34,19,3,New customer
674,1648,5,16,161603.86,47,0,Regular customer
675,188,5,12,7667.15,8,3,New customer
676,323,1,3,12149.47,8,3,New customer
677,366,7,12,21566.29,19,3,New customer
678,44,35,4,385.94,3,1,Inactive customer
679,1711,12,16,128976.58,50,0,Regular customer
680,797,6,11,13192.55,13,3,New customer
681,42583,2,61,6538312.08,100,2,Profitable customer
682,2,73,1,37.18,1,1,Inactive customer
683,24,73,1,429.6,2,1,Inactive customer
684,190,69,1,3568.1,2,1,Inactive customer
685,282,6,18,8242.13,14,3,New customer
686,61,3,8,2173.11,7,3,New customer
687,35,3,5,741.39,6,3,New customer
688,82,41,3,2460.26,5,1,Inactive customer
689,6630,4,26,286682.22,80,0,Regular customer
690,655,5,14,36381.7,34,0,Regular customer
691,20,54,1,573.66,3,1,Inactive customer
692,374,2,32,20572.07,17,0,Regular customer
693,554,21,15,17710.41,21,3,New customer
694,429,3,10,13845.82,25,3,New customer
695,18,11,2,192.42,2,3,New customer
696,41,17,4,894.8,7,3,New customer
